PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS
2013-10-01,182340.762128234,7902.170038622,10946.486219889,30994.083227389,3.961019357,46.294264573,0.2200305371
2013-10-01,146000.0,417.0,587.0,2234.0,5.4,52.0,0.2224709042
2013-11-01,130000.0,345.0,415.0,2015.0,5.8,59.0,0.217866005
2013-11-01,163037.287715264,830.187943275,981.014870743,2468.212560275,3.02135449,44.72552812,0.2201021436
2013-11-01,135000.0,1708.0,1706.0,6885.0,4.0,47.0,0.1975308642
2013-11-01,186500.0,3853.0,4051.0,17364.0,4.5,53.0,0.2099170698
2013-11-01,157000.0,733.0,610.0,2322.0,3.2,47.0,0.2054263566
2013-11-01,170000.0,6639.0,6782.0,28586.0,4.3,51.0,0.2069894354
2013-11-01,197439.124583557,4390.2940292,6529.01821001,18207.559193213,4.297419699,49.870254738,0.2423037143
2013-11-01,181650.842467501,7713.653432585,11135.13069354,29924.674466132,3.984428996,48.255132049,0.2335932318
2013-11-01,155231.815153957,2155.610948326,2719.444717627,7267.581693362,3.540443436,46.07586467,0.2157668203
2013-12-01,175000.0,7122.0,5625.0,26196.0,3.7,53.0,0.175790197
2013-12-01,173112.854855813,764.292208053,1037.78438767,2538.377504466,3.445035612,47.25063698,0.2407195634
2013-12-01,186341.693905654,8017.665966665,11607.969116255,30995.500316945,4.038067407,46.593226608,0.2437290095
2013-12-01,203445.961777754,4534.269800453,6654.579164819,18847.681540345,4.414953183,47.061314122,0.255410599
2013-12-01,163584.240141487,2301.349063522,3335.491631096,7665.79816767,3.331369714,46.533760552,0.2255932439
2013-12-01,150000.0,1980.0,1510.0,6293.0,3.2,51.0,0.1566820276
2013-12-01,160000.0,411.0,365.0,1820.0,4.4,50.0,0.1901098901
2013-12-01,189950.0,4073.0,3265.0,15997.0,3.9,53.0,0.1819716197
2013-12-01,165000.0,658.0,485.0,2086.0,3.2,56.0,0.1749760307
2014-01-01,203326.31498651,4258.377276828,5289.441340472,18312.653463054,4.547911518,44.459957872,0.2502662501
2014-01-01,130000.0,1404.0,2185.0,6362.0,4.5,64.0,0.1919207796
2014-01-01,180000.0,2908.0,4170.0,15712.0,5.4,58.0,0.2270875764
2014-01-01,153500.0,286.0,466.0,1786.0,6.2,60.0,0.2138857783
2014-01-01,163064.439067045,712.849788451,879.671615328,2432.175892142,3.446670772,43.58605602,0.2413009294
2014-01-01,153615.68375701,2149.442128608,2589.404453089,7401.469819597,3.503507088,49.390069101,0.2169158946
2014-01-01,164000.0,5073.0,7541.0,25917.0,5.1,60.0,0.2164216537
2014-01-01,185191.993435025,7475.32647416,9219.174059907,30264.708145776,4.15824467,46.020073556,0.2374124824
2014-01-01,150000.0,475.0,720.0,2057.0,4.3,56.0,0.2163344677
