PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS,MONTH,YEAR,MEDIAN_SALE_PRICE_LAG_1,MEDIAN_SALE_PRICE_LAG_3,HOMES_SOLD_LAG_1,HOMES_SOLD_LAG_3,NEW_LISTINGS_LAG_1,NEW_LISTINGS_LAG_3,INVENTORY_LAG_1,INVENTORY_LAG_3,MONTHS_OF_SUPPLY_LAG_1,MONTHS_OF_SUPPLY_LAG_3,MEDIAN_DOM_LAG_1,MEDIAN_DOM_LAG_3,PRICE_DROPS_LAG_1,PRICE_DROPS_LAG_3,MEDIAN_SALE_PRICE_ROLL3,MEDIAN_SALE_PRICE_ROLL6,HOMES_SOLD_ROLL3,HOMES_SOLD_ROLL6,NEW_LISTINGS_ROLL3,NEW_LISTINGS_ROLL6,INVENTORY_ROLL3,INVENTORY_ROLL6,MONTHS_OF_SUPPLY_ROLL3,MONTHS_OF_SUPPLY_ROLL6,MEDIAN_DOM_ROLL3,MEDIAN_DOM_ROLL6,PRICE_DROPS_ROLL3,PRICE_DROPS_ROLL6,PRICE_DROPS_YOY,RISK_SCORE,RISK_LABEL
2016-02-01,190000.0,5370.0,11649.0,28843.0,5.4,73.0,0.1984190271,2,2016,190000.0,196500.0,5398.0,6124.0,8141.0,6621.0,27037.0,30922.0,5.0,5.0,68.0,56.0,0.189111218,0.2119203156,195500.0,203250.0,6267.333333333333,7478.666666666667,6572.0,8349.5,28319.0,31996.666666666668,4.566666666666666,4.333333333333333,61.333333333333336,54.833333333333336,0.18870594543333333,0.23744794551666668,-11.900328291289131,0.799147266940811,0
2016-03-01,210000.0,7315.0,14096.0,30454.0,4.2,65.0,0.2349116701,3,2016,190000.0,200000.0,5370.0,7280.0,11649.0,4954.0,28843.0,26998.0,5.4,3.7,73.0,60.0,0.1984190271,0.1650863027,193333.33333333334,197750.0,6016.0,6796.333333333333,8248.0,8454.333333333334,27626.0,30676.833333333332,4.7,4.583333333333333,67.0,59.5,0.18420551593333334,0.22223422969999998,5.378786574795735,0.5000786223240472,1
2016-04-01,230500.0,8845.0,14276.0,32027.0,3.6,42.0,0.2478845974,4,2016,210000.0,190000.0,7315.0,5398.0,14096.0,8141.0,30454.0,27037.0,4.2,5.0,65.0,68.0,0.2349116701,0.189111218,196666.66666666666,197750.0,6027.666666666667,6601.166666666667,11295.333333333334,9113.833333333334,28778.0,29758.166666666668,4.866666666666666,4.583333333333333,68.66666666666667,62.5,0.2074806384,0.21314617026666668,0.5838114203558176,-0.02007212397629582,1
2016-05-01,235000.0,10053.0,13901.0,33142.0,3.3,37.0,0.2639852755,5,2016,230500.0,190000.0,8845.0,5370.0,14276.0,11649.0,32027.0,28843.0,3.6,5.4,42.0,73.0,0.2478845974,0.1984190271,210166.66666666666,202833.33333333334,7176.666666666667,6722.0,13340.333333333334,9956.166666666666,30441.333333333332,29380.166666666668,4.3999999999999995,4.483333333333333,60.0,60.666666666666664,0.2270717648666667,0.20788885515,-4.222425882957282,-0.10606924624521258,1
2016-06-01,246000.0,11618.0,13482.0,33786.0,2.9,34.0,0.2929615817,6,2016,235000.0,210000.0,10053.0,7315.0,13901.0,14096.0,33142.0,30454.0,3.3,4.2,37.0,65.0,0.2639852755,0.2349116701,225166.66666666666,209250.0,8737.666666666666,7376.833333333333,14091.0,11169.5,31874.333333333332,29750.166666666668,3.6999999999999997,4.2,48.0,57.5,0.248927181,0.21656634846666667,-2.595762134783086,-0.10990795830921056,1
2016-07-01,241000.0,9985.0,11718.0,33984.0,3.4,36.0,0.2751883239,7,2016,246000.0,230500.0,11618.0,8845.0,13482.0,14276.0,33786.0,32027.0,2.9,3.6,34.0,42.0,0.2929615817,0.2478845974,237166.66666666666,216916.66666666666,10172.0,8099.833333333333,13886.333333333334,12590.833333333334,32985.0,30881.5,3.266666666666666,4.066666666666666,37.666666666666664,53.166666666666664,0.2682771515333333,0.23787889496666667,0.4820773126104738,-0.024612054246577975,1
2016-08-01,235000.0,10301.0,10963.0,33290.0,3.2,39.0,0.2916791829,8,2016,241000.0,235000.0,9985.0,10053.0,11718.0,13901.0,33984.0,33142.0,3.4,3.3,36.0,37.0,0.2751883239,0.2639852755,240666.66666666666,225416.66666666666,10552.0,8864.333333333334,13033.666666666666,13187.0,33637.333333333336,32039.333333333332,3.1999999999999997,3.8000000000000003,35.666666666666664,47.833333333333336,0.2773783937,0.2522250792833333,-8.782914034600253,0.06580988290443233,1
2016-09-01,219950.0,8622.0,10164.0,33023.0,3.8,42.0,0.2861944705,9,2016,235000.0,246000.0,10301.0,11618.0,10963.0,13482.0,33290.0,33786.0,3.2,2.9,39.0,34.0,0.2916791829,0.2929615817,240666.66666666666,232916.66666666666,10634.666666666666,9686.166666666666,12054.333333333334,13072.666666666666,33686.666666666664,32780.5,3.166666666666666,3.4333333333333336,36.333333333333336,42.166666666666664,0.28660969616666665,0.2677684385833333,0.6827241540858564,0.27478668170001824,1
2016-10-01,219500.0,7710.0,8571.0,31158.0,4.0,47.0,0.2685666602,10,2016,219950.0,241000.0,8622.0,9985.0,10164.0,11718.0,33023.0,33984.0,3.8,3.4,42.0,36.0,0.2861944705,0.2751883239,231983.33333333334,234575.0,9636.0,9904.0,10948.333333333334,12417.333333333334,33432.333333333336,33208.666666666664,3.4666666666666663,3.3666666666666667,39.0,38.333333333333336,0.28435399243333337,0.2763155719833333,-1.1213225195573773,0.3200860430224896,1
2016-11-01,215000.0,7112.0,6552.0,28099.0,4.0,50.0,0.2210754831,11,2016,219500.0,235000.0,7710.0,10301.0,8571.0,10963.0,31158.0,33290.0,4.0,3.2,47.0,39.0,0.2685666602,0.2916791829,224816.66666666666,232741.66666666666,8877.666666666666,9714.833333333334,9899.333333333334,11466.5,32490.333333333332,33063.833333333336,3.666666666666666,3.4333333333333336,42.666666666666664,39.166666666666664,0.28214677120000003,0.27976258245,-3.88715838311835,0.08601662718108005,1
2016-12-01,215000.0,7058.0,4594.0,24083.0,3.4,55.0,0.1516007142,12,2016,215000.0,219950.0,7112.0,8622.0,6552.0,10164.0,28099.0,33023.0,4.0,3.8,50.0,42.0,0.2210754831,0.2861944705,218150.0,229408.33333333334,7814.666666666667,9224.666666666666,8429.0,10241.666666666666,30760.0,32223.333333333332,3.933333333333333,3.5500000000000003,46.333333333333336,41.333333333333336,0.2586122046,0.27261095038333333,4.320099030656599,-0.434214553098588,0
2017-01-01,208000.0,5499.0,8472.0,25998.0,4.7,63.0,0.1786291253,1,2017,215000.0,219500.0,7058.0,7710.0,4594.0,8571.0,24083.0,31158.0,3.4,4.0,55.0,47.0,0.1516007142,0.2685666602,216500.0,224241.66666666666,7293.333333333333,8464.666666666666,6572.333333333333,8760.333333333334,27780.0,30606.166666666668,3.7999999999999994,3.6333333333333333,50.666666666666664,44.833333333333336,0.21374761916666665,0.24905080579999997,-8.168811269888598,0.2809084731939376,0
